"Grid","Lon","Lat","siteid"
"0026/0048",-84.04,39.29,"39.29|-84.04"
"0026/0048",-84.04,39.38,"39.38|-84.04"
"0026/0048",-84.04,39.46,"39.46|-84.04"
"0026/0048",-84.04,39.54,"39.54|-84.04"
"0026/0048",-84.04,39.62,"39.62|-84.04"
"0026/0048",-84.04,39.71,"39.71|-84.04"
"0026/0048",-84.04,39.79,"39.79|-84.04"
"0026/0048",-84.04,39.88,"39.88|-84.04"
"0026/0048",-84.04,39.96,"39.96|-84.04"
"0025/0048",-84.04,40.04,"40.04|-84.04"
"0025/0048",-84.04,40.12,"40.12|-84.04"
"0025/0048",-84.04,40.21,"40.21|-84.04"
"0025/0048",-84.04,40.29,"40.29|-84.04"
"0025/0048",-84.04,40.38,"40.38|-84.04"
"0025/0048",-84.04,40.46,"40.46|-84.04"
"0025/0048",-84.04,40.54,"40.54|-84.04"
"0025/0048",-84.04,40.62,"40.62|-84.04"
"0025/0048",-84.04,40.71,"40.71|-84.04"
"0025/0048",-84.04,40.79,"40.79|-84.04"
"0025/0048",-84.04,40.88,"40.88|-84.04"
"0025/0048",-84.04,40.96,"40.96|-84.04"
"0025/0048",-84.04,41.04,"41.04|-84.04"
"0025/0048",-84.04,41.12,"41.12|-84.04"
"0025/0048",-84.04,41.21,"41.21|-84.04"
"0025/0048",-84.04,41.29,"41.29|-84.04"
"0025/0048",-84.04,41.38,"41.38|-84.04"
"0025/0048",-84.04,41.46,"41.46|-84.04"
"0025/0048",-84.04,41.54,"41.54|-84.04"
"0025/0048",-84.04,41.62,"41.62|-84.04"
"0025/0048",-84.04,41.71,"41.71|-84.04"
"0025/0048",-84.04,41.79,"41.79|-84.04"
"0025/0048",-84.04,41.88,"41.88|-84.04"
"0025/0048",-84.04,41.96,"41.96|-84.04"
"0024/0048",-84.04,42.04,"42.04|-84.04"
"0024/0048",-84.04,42.12,"42.12|-84.04"
"0024/0048",-84.04,42.21,"42.21|-84.04"
"0024/0048",-84.04,42.29,"42.29|-84.04"
"0024/0048",-84.04,42.38,"42.38|-84.04"
"0024/0048",-84.04,42.46,"42.46|-84.04"
"0024/0048",-84.04,42.54,"42.54|-84.04"
"0024/0048",-84.04,42.62,"42.62|-84.04"
"0024/0048",-84.04,42.71,"42.71|-84.04"
"0024/0048",-84.04,42.79,"42.79|-84.04"
"0026/0048",-84.12,39.29,"39.29|-84.12"
"0026/0048",-84.12,39.38,"39.38|-84.12"
"0026/0048",-84.12,39.46,"39.46|-84.12"
"0026/0048",-84.12,39.54,"39.54|-84.12"
"0026/0048",-84.12,39.62,"39.62|-84.12"
"0026/0048",-84.12,39.79,"39.79|-84.12"
"0026/0048",-84.12,39.88,"39.88|-84.12"
"0026/0048",-84.12,39.96,"39.96|-84.12"
"0025/0048",-84.12,40.04,"40.04|-84.12"
"0025/0048",-84.12,40.12,"40.12|-84.12"
"0025/0048",-84.12,40.21,"40.21|-84.12"
"0025/0048",-84.12,40.29,"40.29|-84.12"
"0025/0048",-84.12,40.38,"40.38|-84.12"
"0025/0048",-84.12,40.46,"40.46|-84.12"
"0025/0048",-84.12,40.54,"40.54|-84.12"
"0025/0048",-84.12,40.62,"40.62|-84.12"
"0025/0048",-84.12,40.71,"40.71|-84.12"
"0025/0048",-84.12,40.79,"40.79|-84.12"
"0025/0048",-84.12,40.88,"40.88|-84.12"
"0025/0048",-84.12,40.96,"40.96|-84.12"
"0025/0048",-84.12,41.04,"41.04|-84.12"
"0025/0048",-84.12,41.12,"41.12|-84.12"
"0025/0048",-84.12,41.21,"41.21|-84.12"
"0025/0048",-84.12,41.29,"41.29|-84.12"
"0025/0048",-84.12,41.38,"41.38|-84.12"
"0025/0048",-84.12,41.46,"41.46|-84.12"
"0025/0048",-84.12,41.54,"41.54|-84.12"
"0025/0048",-84.12,41.62,"41.62|-84.12"
"0025/0048",-84.12,41.71,"41.71|-84.12"
"0025/0048",-84.12,41.79,"41.79|-84.12"
"0025/0048",-84.12,41.88,"41.88|-84.12"
"0025/0048",-84.12,41.96,"41.96|-84.12"
"0024/0048",-84.12,42.04,"42.04|-84.12"
"0024/0048",-84.12,42.12,"42.12|-84.12"
"0024/0048",-84.12,42.21,"42.21|-84.12"
"0024/0048",-84.12,42.29,"42.29|-84.12"
"0024/0048",-84.12,42.38,"42.38|-84.12"
"0024/0048",-84.12,42.46,"42.46|-84.12"
"0024/0048",-84.12,42.54,"42.54|-84.12"
"0024/0048",-84.12,42.62,"42.62|-84.12"
"0024/0048",-84.12,42.71,"42.71|-84.12"
"0024/0048",-84.12,42.79,"42.79|-84.12"
"0026/0048",-84.21,39.29,"39.29|-84.21"
"0026/0048",-84.21,39.38,"39.38|-84.21"
"0026/0048",-84.21,39.46,"39.46|-84.21"
"0026/0048",-84.21,39.54,"39.54|-84.21"
"0026/0048",-84.21,39.62,"39.62|-84.21"
"0026/0048",-84.21,39.88,"39.88|-84.21"
"0026/0048",-84.21,39.96,"39.96|-84.21"
"0025/0048",-84.21,40.04,"40.04|-84.21"
"0025/0048",-84.21,40.12,"40.12|-84.21"
"0025/0048",-84.21,40.21,"40.21|-84.21"
"0025/0048",-84.21,40.29,"40.29|-84.21"
"0025/0048",-84.21,40.38,"40.38|-84.21"
"0025/0048",-84.21,40.46,"40.46|-84.21"
"0025/0048",-84.21,40.54,"40.54|-84.21"
"0025/0048",-84.21,40.62,"40.62|-84.21"
"0025/0048",-84.21,40.71,"40.71|-84.21"
"0025/0048",-84.21,40.79,"40.79|-84.21"
"0025/0048",-84.21,40.88,"40.88|-84.21"
"0025/0048",-84.21,40.96,"40.96|-84.21"
"0025/0048",-84.21,41.04,"41.04|-84.21"
"0025/0048",-84.21,41.12,"41.12|-84.21"
"0025/0048",-84.21,41.21,"41.21|-84.21"
"0025/0048",-84.21,41.29,"41.29|-84.21"
"0025/0048",-84.21,41.38,"41.38|-84.21"
"0025/0048",-84.21,41.46,"41.46|-84.21"
"0025/0048",-84.21,41.54,"41.54|-84.21"
"0025/0048",-84.21,41.62,"41.62|-84.21"
"0025/0048",-84.21,41.71,"41.71|-84.21"
"0025/0048",-84.21,41.79,"41.79|-84.21"
"0025/0048",-84.21,41.88,"41.88|-84.21"
"0025/0048",-84.21,41.96,"41.96|-84.21"
"0024/0048",-84.21,42.04,"42.04|-84.21"
"0024/0048",-84.21,42.12,"42.12|-84.21"
"0024/0048",-84.21,42.21,"42.21|-84.21"
"0024/0048",-84.21,42.29,"42.29|-84.21"
"0024/0048",-84.21,42.38,"42.38|-84.21"
"0024/0048",-84.21,42.46,"42.46|-84.21"
"0024/0048",-84.21,42.54,"42.54|-84.21"
"0024/0048",-84.21,42.62,"42.62|-84.21"
"0024/0048",-84.21,42.71,"42.71|-84.21"
"0024/0048",-84.21,42.79,"42.79|-84.21"
"0026/0048",-84.29,39.38,"39.38|-84.29"
"0026/0048",-84.29,39.46,"39.46|-84.29"
"0026/0048",-84.29,39.54,"39.54|-84.29"
"0026/0048",-84.29,39.62,"39.62|-84.29"
"0026/0048",-84.29,39.71,"39.71|-84.29"
"0026/0048",-84.29,39.79,"39.79|-84.29"
"0026/0048",-84.29,39.88,"39.88|-84.29"
"0026/0048",-84.29,39.96,"39.96|-84.29"
"0025/0048",-84.29,40.04,"40.04|-84.29"
"0025/0048",-84.29,40.12,"40.12|-84.29"
"0025/0048",-84.29,40.21,"40.21|-84.29"
"0025/0048",-84.29,40.29,"40.29|-84.29"
"0025/0048",-84.29,40.38,"40.38|-84.29"
"0025/0048",-84.29,40.46,"40.46|-84.29"
"0025/0048",-84.29,40.54,"40.54|-84.29"
"0025/0048",-84.29,40.62,"40.62|-84.29"
"0025/0048",-84.29,40.71,"40.71|-84.29"
"0025/0048",-84.29,40.79,"40.79|-84.29"
"0025/0048",-84.29,40.88,"40.88|-84.29"
"0025/0048",-84.29,40.96,"40.96|-84.29"
"0025/0048",-84.29,41.04,"41.04|-84.29"
"0025/0048",-84.29,41.12,"41.12|-84.29"
"0025/0048",-84.29,41.21,"41.21|-84.29"
"0025/0048",-84.29,41.29,"41.29|-84.29"
"0025/0048",-84.29,41.38,"41.38|-84.29"
